3232890
1000, 1000
(50.2, 5800.4), (50.2, 8014.6)
(-0.6, 615.4), (-0.6, 8014.6)
(-0.4, 5800.4), (-0.4, 1389.6)
(50.2, 8014.6), (-0.6, 8014.6)
(50.2, 5800.4), (-0.4, 5800.4)
(100.2, 6714.4), (100.2, 7134.6)
(50.6, 6714.4), (50.6, 3119.6)
(-0.4, 1389.6), (50.4, 1389.6)
(-0.6, 615.4), (50.6, 615.4)
(50.6, 2211.4), (50.6, 615.4)
(50.4, 7134.6), (50.4, 1389.6)
(50.4, 7134.6), (100.2, 7134.6)
(50.6, 6714.4), (100.2, 6714.4)
(100.4, 8268.6), (100.4, 3119.6)
(100.6, 7567.4), (100.6, 2211.4)
(50.6, 3119.6), (100.4, 3119.6)
(50.6, 2211.4), (100.6, 2211.4)
(150.6, 8268.6), (150.6, 1088.6)
(150.4, 7567.4), (150.4, 687.4)
(100.4, 8268.6), (150.6, 8268.6)
(100.6, 7567.4), (150.4, 7567.4)
(200.4, 4177.6), (200.4, 1088.6)
(200.6, 4162.4), (200.6, 687.4)
(150.6, 1088.6), (200.4, 1088.6)
(150.4, 687.4), (200.6, 687.4)
(250.6, 4177.6), (250.6, 4101.6)
(250.4, 4162.4), (250.4, 3715.4)
(200.4, 4177.6), (250.6, 4177.6)
(200.6, 4162.4), (250.4, 4162.4)
(350.2, 3387.4), (350.2, 3954.6)
(300.6, 3387.4), (300.6, 2043.6)
(250.6, 4101.6), (300.6, 4101.6)
(250.4, 3715.4), (300.4, 3715.4)
(300.4, 1416.4), (300.4, 3715.4)
(300.6, 4101.6), (300.6, 3954.6)
(300.6, 3954.6), (350.2, 3954.6)
(300.6, 3387.4), (350.2, 3387.4)
(400.2, 4945.4), (400.2, 5093.6)
(350.6, 4945.4), (350.6, 1710.6)
(300.6, 2043.6), (350.4, 2043.6)
(300.4, 1416.4), (350.4, 1416.4)
(350.4, 1407.4), (350.4, 1416.4)
(350.4, 5093.6), (350.4, 2043.6)
(350.4, 5093.6), (400.2, 5093.6)
(350.6, 4945.4), (400.2, 4945.4)
(400.4, 5215.6), (400.4, 1710.6)
(400.6, 4641.4), (400.6, 1407.4)
(350.6, 1710.6), (400.4, 1710.6)
(350.4, 1407.4), (400.6, 1407.4)
(450.4, 8290.6), (450.4, 5215.6)
(450.6, 8189.4), (450.6, 4641.4)
(400.4, 5215.6), (450.4, 5215.6)
(400.6, 4641.4), (450.6, 4641.4)
(550.2, 8097.4), (550.2, 8655.6)
(500.6, 9022.4), (500.6, 8655.6)
(450.4, 8290.6), (500.4, 8290.6)
(450.6, 8189.4), (500.4, 8189.4)
(500.4, 8097.4), (500.4, 8189.4)
(500.4, 9291.6), (500.4, 8290.6)
(500.6, 8655.6), (550.2, 8655.6)
(500.4, 8097.4), (550.2, 8097.4)
(550.6, 9291.6), (550.6, 9196.6)
(550.4, 9022.4), (550.4, 8681.4)
(500.4, 9291.6), (550.6, 9291.6)
(500.6, 9022.4), (550.4, 9022.4)
(600.6, 9196.6), (600.6, 5053.6)
(600.4, 8681.4), (600.4, 4935.4)
(550.6, 9196.6), (600.6, 9196.6)
(550.4, 8681.4), (600.4, 8681.4)
(650.6, 5053.6), (650.6, 2057.6)
(650.4, 4935.4), (650.4, 1666.4)
(600.6, 5053.6), (650.6, 5053.6)
(600.4, 4935.4), (650.4, 4935.4)
(750.2, 1284.4), (750.2, 2411.6)
(700.6, 8844.4), (700.6, 2411.6)
(650.6, 2057.6), (700.4, 2057.6)
(650.4, 1666.4), (700.4, 1666.4)
(700.4, 1284.4), (700.4, 1666.4)
(700.4, 9713.6), (700.4, 2057.6)
(700.6, 2411.6), (750.2, 2411.6)
(700.4, 1284.4), (750.2, 1284.4)
(750.6, 9713.6), (750.6, 6222.6)
(750.4, 8844.4), (750.4, 5522.4)
(700.4, 9713.6), (750.6, 9713.6)
(700.6, 8844.4), (750.4, 8844.4)
(850.2, 6834.4), (850.2, 7679.6)
